UHF_42,Incident_Address_Borough,Date_Received,sewageO_count
high bridge - morrisania,Bronx,2021,9
hunts point - mott haven,Bronx,2017,16
hunts point - mott haven,Bronx,2018,17
hunts point - mott haven,Bronx,2019,15
hunts point - mott haven,Bronx,2020,16
hunts point - mott haven,Bronx,2021,5
jamaica,Queens,2017,31
jamaica,Queens,2018,35
jamaica,Queens,2019,36
jamaica,Queens,2020,33
jamaica,Queens,2021,12
kingsbridge - riverdale,Bronx,2017,8
kingsbridge - riverdale,Bronx,2018,16
kingsbridge - riverdale,Bronx,2019,8
kingsbridge - riverdale,Bronx,2020,7
kingsbridge - riverdale,Bronx,2021,4
long island city - astoria,Queens,2017,16
long island city - astoria,Queens,2018,21
long island city - astoria,Queens,2019,16
long island city - astoria,Queens,2020,15
long island city - astoria,Queens,2021,6
lower east side,Manhattan,2017,10
lower east side,Manhattan,2018,6
lower east side,Manhattan,2019,15
lower east side,Manhattan,2020,6
lower east side,Manhattan,2021,3
lower manhattan,Manhattan,2017,3
lower manhattan,Manhattan,2018,5
lower manhattan,Manhattan,2019,5
lower manhattan,Manhattan,2020,4
lower manhattan,Manhattan,2021,3
northeast bronx,Bronx,2017,21
northeast bronx,Bronx,2018,28
northeast bronx,Bronx,2019,21
northeast bronx,Bronx,2020,26
northeast bronx,Bronx,2021,4
pelham - throgs neck,Bronx,2017,19
pelham - throgs neck,Bronx,2018,29
pelham - throgs neck,Bronx,2019,37
pelham - throgs neck,Bronx,2020,17
pelham - throgs neck,Bronx,2021,12
port richmond,Staten Island,2017,8
port richmond,Staten Island,2018,2
port richmond,Staten Island,2019,12
port richmond,Staten Island,2020,10
port richmond,Staten Island,2021,2
ridgewood -forest hills,Queens,2017,13
ridgewood -forest hills,Queens,2018,11
ridgewood -forest hills,Queens,2019,14
ridgewood -forest hills,Queens,2020,18
ridgewood -forest hills,Queens,2021,9
rockaway,Queens,2017,10
rockaway,Queens,2018,13
rockaway,Queens,2019,11
rockaway,Queens,2020,9
rockaway,Queens,2021,5
south beach - tottenville,Staten Island,2017,9
south beach - tottenville,Staten Island,2018,15
south beach - tottenville,Staten Island,2019,12
south beach - tottenville,Staten Island,2020,10
south beach - tottenville,Staten Island,2021,6
southeast queens,Queens,2017,16
southeast queens,Queens,2018,15
southeast queens,Queens,2019,18
southeast queens,Queens,2020,12
southeast queens,Queens,2021,6
southwest queens,Queens,2017,15
southwest queens,Queens,2018,21
southwest queens,Queens,2019,30
southwest queens,Queens,2020,14
southwest queens,Queens,2021,8
stapleton - st. george,Staten Island,2017,20
stapleton - st. george,Staten Island,2018,19
stapleton - st. george,Staten Island,2019,15
stapleton - st. george,Staten Island,2020,17
stapleton - st. george,Staten Island,2021,7
sunset park,Brooklyn,2017,6
sunset park,Brooklyn,2018,15
sunset park,Brooklyn,2019,6
sunset park,Brooklyn,2020,5
sunset park,Brooklyn,2021,2
union square - lower east side,Manhattan,2017,14
union square - lower east side,Manhattan,2018,13
union square - lower east side,Manhattan,2019,13
union square - lower east side,Manhattan,2020,8
union square - lower east side,Manhattan,2021,5
upper east side,Manhattan,2017,11
upper east side,Manhattan,2018,7
upper east side,Manhattan,2019,5
upper east side,Manhattan,2020,11
upper east side,Manhattan,2021,1
upper west side,Manhattan,2017,10
upper west side,Manhattan,2018,25
upper west side,Manhattan,2019,16
upper west side,Manhattan,2020,8
upper west side,Manhattan,2021,8
washington heights,Manhattan,2017,17
washington heights,Manhattan,2018,39
washington heights,Manhattan,2019,29
washington heights,Manhattan,2020,22
washington heights,Manhattan,2021,16
west queens,Queens,2017,21
west queens,Queens,2018,35
west queens,Queens,2019,19
west queens,Queens,2020,24
west queens,Queens,2021,10
williamsburg - bushwick,Brooklyn,2017,30
williamsburg - bushwick,Brooklyn,2018,34
williamsburg - bushwick,Brooklyn,2019,42
williamsburg - bushwick,Brooklyn,2020,33
williamsburg - bushwick,Brooklyn,2021,18
willowbrook,Staten Island,2017,5
willowbrook,Staten Island,2018,26
willowbrook,Staten Island,2019,6
willowbrook,Staten Island,2020,9
