UHF_42,Incident_Address_Borough,Date_Received,sewageL_count
east harlem,Manhattan,2019,2
east harlem,Manhattan,2020,6
east harlem,Manhattan,2021,2
east new york,Brooklyn,2017,7
east new york,Brooklyn,2018,6
east new york,Brooklyn,2019,9
east new york,Brooklyn,2020,8
east new york,Brooklyn,2021,3
flushing - clearview,Queens,2017,1
flushing - clearview,Queens,2018,1
flushing - clearview,Queens,2019,6
flushing - clearview,Queens,2020,8
fordham - bronx pk,Bronx,2017,7
fordham - bronx pk,Bronx,2018,4
fordham - bronx pk,Bronx,2019,3
fordham - bronx pk,Bronx,2020,12
fordham - bronx pk,Bronx,2021,2
fresh meadows,Queens,2020,3
gramercy park - murray hill,Manhattan,2018,5
gramercy park - murray hill,Manhattan,2019,4
gramercy park - murray hill,Manhattan,2020,8
gramercy park - murray hill,Manhattan,2021,5
greenpoint,Brooklyn,2017,1
greenpoint,Brooklyn,2018,1
greenpoint,Brooklyn,2019,10
greenpoint,Brooklyn,2020,8
greenpoint,Brooklyn,2021,3
greenwich village - soho,Manhattan,2017,1
greenwich village - soho,Manhattan,2018,2
greenwich village - soho,Manhattan,2019,5
greenwich village - soho,Manhattan,2020,2
greenwich village - soho,Manhattan,2021,4
high bridge - morrisania,Bronx,2017,5
high bridge - morrisania,Bronx,2018,4
high bridge - morrisania,Bronx,2019,13
high bridge - morrisania,Bronx,2020,14
high bridge - morrisania,Bronx,2021,4
hunts point - mott haven,Bronx,2017,1
hunts point - mott haven,Bronx,2018,4
hunts point - mott haven,Bronx,2019,4
hunts point - mott haven,Bronx,2020,7
jamaica,Queens,2017,9
jamaica,Queens,2018,6
jamaica,Queens,2019,15
jamaica,Queens,2020,23
jamaica,Queens,2021,9
kingsbridge - riverdale,Bronx,2017,3
kingsbridge - riverdale,Bronx,2018,3
kingsbridge - riverdale,Bronx,2019,2
kingsbridge - riverdale,Bronx,2020,2
kingsbridge - riverdale,Bronx,2021,1
long island city - astoria,Queens,2017,3
long island city - astoria,Queens,2018,2
long island city - astoria,Queens,2019,6
long island city - astoria,Queens,2020,8
long island city - astoria,Queens,2021,2
lower east side,Manhattan,2018,2
lower east side,Manhattan,2019,8
lower east side,Manhattan,2020,7
lower east side,Manhattan,2021,1
lower manhattan,Manhattan,2018,1
lower manhattan,Manhattan,2019,3
lower manhattan,Manhattan,2021,1
northeast bronx,Bronx,2017,9
northeast bronx,Bronx,2018,3
northeast bronx,Bronx,2019,19
northeast bronx,Bronx,2020,14
pelham - throgs neck,Bronx,2017,2
pelham - throgs neck,Bronx,2018,9
pelham - throgs neck,Bronx,2019,11
pelham - throgs neck,Bronx,2020,17
pelham - throgs neck,Bronx,2021,1
port richmond,Staten Island,2018,1
port richmond,Staten Island,2019,5
port richmond,Staten Island,2020,13
ridgewood -forest hills,Queens,2017,2
ridgewood -forest hills,Queens,2018,12
ridgewood -forest hills,Queens,2019,11
ridgewood -forest hills,Queens,2020,9
ridgewood -forest hills,Queens,2021,3
rockaway,Queens,2017,2
rockaway,Queens,2018,7
rockaway,Queens,2019,11
rockaway,Queens,2020,8
rockaway,Queens,2021,5
south beach - tottenville,Staten Island,2017,3
south beach - tottenville,Staten Island,2018,2
south beach - tottenville,Staten Island,2019,23
south beach - tottenville,Staten Island,2020,12
south beach - tottenville,Staten Island,2021,2
southeast queens,Queens,2017,1
southeast queens,Queens,2018,4
southeast queens,Queens,2019,7
southeast queens,Queens,2020,10
southeast queens,Queens,2021,1
southwest queens,Queens,2017,1
southwest queens,Queens,2018,2
southwest queens,Queens,2019,10
southwest queens,Queens,2020,11
southwest queens,Queens,2021,5
stapleton - st. george,Staten Island,2017,3
stapleton - st. george,Staten Island,2018,5
stapleton - st. george,Staten Island,2019,14
stapleton - st. george,Staten Island,2020,17
stapleton - st. george,Staten Island,2021,2
sunset park,Brooklyn,2017,1
sunset park,Brooklyn,2018,4
sunset park,Brooklyn,2019,6
sunset park,Brooklyn,2020,5
sunset park,Brooklyn,2021,1
union square - lower east side,Manhattan,2018,2
union square - lower east side,Manhattan,2019,3
union square - lower east side,Manhattan,2020,4
union square - lower east side,Manhattan,2021,1
upper east side,Manhattan,2017,1
upper east side,Manhattan,2018,2
upper east side,Manhattan,2019,3
upper east side,Manhattan,2020,1
upper east side,Manhattan,2021,2
upper west side,Manhattan,2017,1
upper west side,Manhattan,2018,10
upper west side,Manhattan,2019,2
upper west side,Manhattan,2020,5
washington heights,Manhattan,2017,1
washington heights,Manhattan,2018,5
washington heights,Manhattan,2019,2
washington heights,Manhattan,2020,17
washington heights,Manhattan,2021,5
west queens,Queens,2017,3
west queens,Queens,2018,3
west queens,Queens,2019,9
west queens,Queens,2020,22
west queens,Queens,2021,2
williamsburg - bushwick,Brooklyn,2017,4
williamsburg - bushwick,Brooklyn,2018,8
williamsburg - bushwick,Brooklyn,2019,14
williamsburg - bushwick,Brooklyn,2020,30
williamsburg - bushwick,Brooklyn,2021,1
willowbrook,Staten Island,2017,2
willowbrook,Staten Island,2018,8
willowbrook,Staten Island,2019,1
willowbrook,Staten Island,2021,1
